AUCEC,Algorithm,Commits,Depth,Domain,EXAM,FixCount,Fixed,Future,ID,LOC,Missed,Origin,Project,Source,Choice,Time,Weighting,fn,fp,hdMax,hdMaxLOC,tn,tp
0.711571344975516,Bugspots,6305,2000,25502020,0.090746264681687,88,1,1000,8,634313,0,5288,broadleafcommerce,Author,Random,commit,google_weighting_function,2210,55111,29.326774721936,0.005424766637291,637320,207
0.73465496242678,Linespots,6305,2000,25502020,0.039677772256357,88,1,1000,9,634313,0,5288,broadleafcommerce,Author,Random,time,linear_weighting_function,2077,42115,128.716112012987,0.000176568980929,650316,340
0.712685757518908,Bugspots,6305,2000,25502020,0.08916907239848,88,1,1000,9,634313,0,5288,broadleafcommerce,Author,Random,time,linear_weighting_function,2220,56825,3604.05113636364,3.15301751658881E-06,635606,197
0.73299461206634,Linespots,6305,2000,25502020,0.042466768691125,88,1,1000,10,634313,0,5288,broadleafcommerce,Author,Random,commit,linear_weighting_function,2122,41304,90.1012784090909,0.000126120700664,651127,295
0.714080734876659,Bugspots,6305,2000,25502020,0.087002305195294,88,1,1000,10,634313,0,5288,broadleafcommerce,Author,Random,commit,linear_weighting_function,2160,60245,37.3476801695714,0.001217064761403,632186,257
0.730522807567185,Linespots,6305,2000,25502020,0.050147407572732,88,1,1000,11,634313,0,5288,broadleafcommerce,Author,Random,time,flat_weighting_function,2204,38236,42.1526448697501,0.000269582997668,654195,213
0.710544948199505,Bugspots,6305,2000,25502020,0.092074493114379,88,1,1000,11,634313,0,5288,broadleafcommerce,Author,Random,time,flat_weighting_function,2217,54514,26.7214171370798,0.003402105900399,637917,200
0.730522807567185,Linespots,6305,2000,25502020,0.050147407572732,88,1,1000,12,634313,0,5288,broadleafcommerce,Author,Random,commit,flat_weighting_function,2204,38236,42.1526448697501,0.000269582997668,654195,213
0.710541311480438,Bugspots,6305,2000,25502020,0.09209331992448,88,1,1000,12,634313,0,5288,broadleafcommerce,Author,Random,commit,flat_weighting_function,2217,54514,26.7214171370798,0.003402105900399,637917,200
0.788870709591891,Linespots,7210,2000,45103010,0.072040223229171,81,1,1000,1,154293,0,2760,ceylon-ide-eclipse,Past,Random,time,google_weighting_function,2943,15373,52.9125514403292,0.000233322315335,182823,222
0.759338393611065,Bugspots,7210,2000,45103010,0.133694839897187,81,1,1000,1,154293,0,2760,ceylon-ide-eclipse,Past,Random,time,google_weighting_function,3017,22857,11.9053240740741,0.001036988068156,175339,148
0.785454249982777,Linespots,7210,2000,45103010,0.076675073805671,81,1,1000,2,154293,0,2760,ceylon-ide-eclipse,Past,Random,commit,google_weighting_function,2970,13850,81.0575256107171,0.000304615245021,184346,195
0.751948813436805,Bugspots,7210,2000,45103010,0.144482783085747,81,1,1000,2,154293,0,2760,ceylon-ide-eclipse,Past,Random,commit,google_weighting_function,2996,26396,11.9802003261123,0.00103050689273,171800,169
0.789255419362856,Linespots,7210,2000,45103010,0.071536720771108,81,1,1000,3,154293,0,2760,ceylon-ide-eclipse,Past,Random,time,linear_weighting_function,2936,16033,62.4541590771099,0.000395351700984,182163,229
0.755506898731154,Bugspots,7210,2000,45103010,0.13748305149216,81,1,1000,3,154293,0,2760,ceylon-ide-eclipse,Past,Random,time,linear_weighting_function,3028,20623,86.5841750841751,0.000142585859371,177573,137
0.789728785212486,Linespots,7210,2000,45103010,0.070945584848411,81,1,1000,4,154293,0,2760,ceylon-ide-eclipse,Past,Random,commit,linear_weighting_function,2948,15943,81.0575256107171,0.000304615245021,182253,217
0.75946721697447,Bugspots,7210,2000,45103010,0.136902049183815,81,1,1000,4,154293,0,2760,ceylon-ide-eclipse,Past,Random,commit,linear_weighting_function,3028,20623,86.5841750841751,0.000142585859371,177573,137
0.779860195445046,Linespots,7210,2000,45103010,0.079829554859498,81,1,1000,5,154293,0,2760,ceylon-ide-eclipse,Past,Random,time,flat_weighting_function,2902,16586,37.3500363108206,0.000330539946725,181610,263
0.754939355801568,Bugspots,7210,2000,45103010,0.145874603045611,81,1,1000,5,154293,0,2760,ceylon-ide-eclipse,Past,Random,time,flat_weighting_function,3036,30031,11.9053240740741,0.001036988068156,168165,129
0.779860195445046,Linespots,7210,2000,45103010,0.079829554859498,81,1,1000,6,154293,0,2760,ceylon-ide-eclipse,Past,Random,commit,flat_weighting_function,2902,16586,37.3500363108206,0.000330539946725,181610,263
0.754930634219822,Bugspots,7210,2000,45103010,0.145981882462397,81,1,1000,6,154293,0,2760,ceylon-ide-eclipse,Past,Random,commit,flat_weighting_function,3036,30031,11.9053240740741,0.001036988068156,168165,129
0.72363704961328,Linespots,7210,2000,45103010,0.125155631698795,124,0.983870967741936,1000,7,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,time,google_weighting_function,1375,13803,30.4948265368229,0.000264455222242,262327,102
0.657671527298926,Bugspots,7210,2000,45103010,0.259727214694822,124,0.983870967741936,1000,7,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,time,google_weighting_function,1257,56830,15.466275659824,0.001042851725446,219300,220
0.723242499483322,Linespots,7210,2000,45103010,0.125706766476096,124,0.983870967741936,1000,8,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,commit,google_weighting_function,1371,13438,35.9161290322581,0.000224537452847,262692,106
0.658414553117353,Bugspots,7210,2000,45103010,0.259031914342313,124,0.983870967741936,1000,8,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,commit,google_weighting_function,1257,56830,15.466275659824,0.001042851725446,219300,220
0.731512962329859,Linespots,7210,2000,45103010,0.113967133071102,124,0.983870967741936,1000,9,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,time,linear_weighting_function,1382,14877,14.8618464961068,0.004341057421711,261253,95
0.656157911476552,Bugspots,7210,2000,45103010,0.26037843463079,124,0.983870967741936,1000,9,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,time,linear_weighting_function,1240,62266,4.62108879614471,0.013961239845917,213864,237
0.732272325461163,Linespots,7210,2000,45103010,0.112871534639886,124,0.983870967741936,1000,10,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,commit,linear_weighting_function,1381,14881,14.0541374474053,0.00459054348043,261249,96
0.656732896362526,Bugspots,7210,2000,45103010,0.26025427068934,124,0.983870967741936,1000,10,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,commit,linear_weighting_function,1246,61629,4.62108879614471,0.013961239845917,214501,231
0.729392250351373,Linespots,7210,2000,45103010,0.104412782602853,124,0.983870967741936,1000,11,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,time,flat_weighting_function,1396,15723,9.23078082604764,0.009610202981857,260407,81
0.652321620687191,Bugspots,7210,2000,45103010,0.265041765265605,124,0.983870967741936,1000,11,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,time,flat_weighting_function,1250,57051,3.11552769131165,0.044004351036864,219079,227
0.729392250351373,Linespots,7210,2000,45103010,0.104412782602853,124,0.983870967741936,1000,12,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,commit,flat_weighting_function,1396,15723,9.23078082604764,0.009610202981857,260407,81
0.652321620687191,Bugspots,7210,2000,45103010,0.265041765265605,124,0.983870967741936,1000,12,200412,0.016129032258065,6186,ceylon-ide-eclipse,Past,Random,commit,flat_weighting_function,1250,57051,3.11552769131165,0.044004351036864,219079,227
0.782801398696929,Linespots,13742,2000,45103020,0.063201764431584,68,1,1000,1,787136,0,2156,closure-compiler,Past,Author,time,google_weighting_function,691,49528,46.4880699267659,0.00031633669404,795985,100
0.789559387001812,Bugspots,13742,2000,45103020,0.180160848253767,68,1,1000,1,787136,0,2156,closure-compiler,Past,Author,time,google_weighting_function,722,62574,189.762777242044,7.749613789739E-05,782939,69
0.783359808066653,Linespots,13742,2000,45103020,0.062251801528096,68,1,1000,2,787136,0,2156,closure-compiler,Past,Author,commit,google_weighting_function,690,49566,45.4834161562464,0.000646648101472,795947,101
0.792005036576383,Bugspots,13742,2000,45103020,0.177511448767125,68,1,1000,2,787136,0,2156,closure-compiler,Past,Author,commit,google_weighting_function,720,65704,189.762777242044,7.749613789739E-05,779809,71
0.781285160976741,Linespots,13742,2000,45103020,0.055443239128905,68,1,1000,3,787136,0,2156,closure-compiler,Past,Author,time,linear_weighting_function,699,47774,34.3487519636935,0.000856268802342,797739,92
0.813291271438854,Bugspots,13742,2000,45103020,0.155063272504827,68,1,1000,3,787136,0,2156,closure-compiler,Past,Author,time,linear_weighting_function,708,67897,9.67853629746213,0.00303886494837,777616,83
0.780370583243257,Linespots,13742,2000,45103020,0.0570300651199,68,1,1000,4,787136,0,2156,closure-compiler,Past,Author,commit,linear_weighting_function,689,50219,35.4533825781461,0.000829589804049,795294,102
0.814273611586068,Bugspots,13742,2000,45103020,0.153924245808791,68,1,1000,4,787136,0,2156,closure-compiler,Past,Author,commit,linear_weighting_function,737,62946,9.67853629746213,0.00303886494837,782567,54
0.781435781483908,Linespots,13742,2000,45103020,0.054313338341645,68,1,1000,5,787136,0,2156,closure-compiler,Past,Author,time,flat_weighting_function,714,46577,12.6232599910193,0.003494948776323,798936,77
0.791722198092384,Bugspots,13742,2000,45103020,0.160237094244568,68,1,1000,5,787136,0,2156,closure-compiler,Past,Author,time,flat_weighting_function,747,57267,16.2806320840573,0.001806549312952,788246,44
0.781435781483908,Linespots,13742,2000,45103020,0.054313338341645,68,1,1000,6,787136,0,2156,closure-compiler,Past,Author,commit,flat_weighting_function,714,46577,12.6232599910193,0.003494948776323,798936,77
0.791702842740682,Bugspots,13742,2000,45103020,0.160257659305752,68,1,1000,6,787136,0,2156,closure-compiler,Past,Author,commit,flat_weighting_function,747,57267,16.2806320840573,0.001806549312952,788246,44
0.78436082557963,Linespots,13742,2000,45103020,0.04347869550492,111,1,1000,7,614028,0,5498,closure-compiler,Past,Author,time,google_weighting_function,2168,58939,71.3778552746295,0.000252431485209,811618,360
0.703544353730502,Bugspots,13742,2000,45103020,0.147628717582206,111,1,1000,7,614028,0,5498,closure-compiler,Past,Author,time,google_weighting_function,2078,193674,97.0488383119962,9.28296429478786E-05,676883,450
0.783939739638014,Linespots,13742,2000,45103020,0.044121909477066,111,1,1000,8,614028,0,5498,closure-compiler,Past,Author,commit,google_weighting_function,2169,59082,155.824895317853,0.000115629906128,811475,359
0.702860888698505,Bugspots,13742,2000,45103020,0.148162220593023,111,1,1000,8,614028,0,5498,closure-compiler,Past,Author,commit,google_weighting_function,2204,193966,97.0488383119962,9.28296429478786E-05,676591,324
0.786872537197441,Linespots,13742,2000,45103020,0.039608024923544,111,1,1000,9,614028,0,5498,closure-compiler,Past,Author,time,linear_weighting_function,2181,67950,112.893546607832,0.000159601842261,802607,347
0.706009349751166,Bugspots,13742,2000,45103020,0.146989229774584,111,1,1000,9,614028,0,5498,closure-compiler,Past,Author,time,linear_weighting_function,2121,178007,97.0488383119962,9.28296429478786E-05,692550,407
0.787177362337616,Linespots,13742,2000,45103020,0.039132404886573,111,1,1000,10,614028,0,5498,closure-compiler,Past,Author,commit,linear_weighting_function,2174,67951,116.458605974395,0.00015471607158,802606,354
0.705927641472112,Bugspots,13742,2000,45103020,0.148349660619235,111,1,1000,10,614028,0,5498,closure-compiler,Past,Author,commit,linear_weighting_function,2117,178873,97.0488383119962,9.28296429478786E-05,691684,411
0.782892365386161,Linespots,13742,2000,45103020,0.037837169240318,111,1,1000,11,614028,0,5498,closure-compiler,Past,Author,time,flat_weighting_function,2207,69859,160.341558950255,0.000112372725674,800698,321
0.699682056638906,Bugspots,13742,2000,45103020,0.155581096868677,111,1,1000,11,614028,0,5498,closure-compiler,Past,Author,time,flat_weighting_function,2311,162326,9.06552570269385,0.004968828783052,708231,217
0.782892365386161,Linespots,13742,2000,45103020,0.037837169240318,111,1,1000,12,614028,0,5498,closure-compiler,Past,Author,commit,flat_weighting_function,2207,69859,160.341558950255,0.000112372725674,800698,321
0.699533561488554,Bugspots,13742,2000,45103020,0.155850782698138,111,1,1000,12,614028,0,5498,closure-compiler,Past,Author,commit,flat_weighting_function,2311,162326,9.06552570269385,0.004968828783052,708231,217
0.717212129957523,Linespots,13742,2000,45103020,0.051414408393938,79,1,1000,13,810728,0,11122,closure-compiler,Past,Author,time,google_weighting_function,3551,44920,380.088138771683,3.3303401387395E-05,907545,344
0.621157016997007,Bugspots,13742,2000,45103020,0.196424767583473,79,1,1000,13,810728,0,11122,closure-compiler,Past,Author,time,google_weighting_function,3873,49100,2.14489007010176,0.082622038464195,903365,22
0.717215674201365,Linespots,13742,2000,45103020,0.051535369637002,79,1,1000,14,810728,0,11122,closure-compiler,Past,Author,commit,google_weighting_function,3554,44932,186.588722669735,6.78402620854343E-05,907533,341
0.622209360763304,Bugspots,13742,2000,45103020,0.194493608197825,79,1,1000,14,810728,0,11122,closure-compiler,Past,Author,commit,google_weighting_function,3873,49100,2.27395961596176,0.077932426165126,903365,22
0.719201059675823,Linespots,13742,2000,45103020,0.04736547733527,79,1,1000,15,810728,0,11122,closure-compiler,Past,Author,time,linear_weighting_function,3523,46338,102.623797468354,0.000123345931064,906127,372
0.628293906248849,Bugspots,13742,2000,45103020,0.187841052704493,79,1,1000,15,810728,0,11122,closure-compiler,Past,Author,time,linear_weighting_function,3870,49584,2.70181125410323,0.070276344223957,902881,25
0.719308323795622,Linespots,13742,2000,45103020,0.04727925318296,79,1,1000,16,810728,0,11122,closure-compiler,Past,Author,commit,linear_weighting_function,3513,46847,148.730141258485,8.5108692434454E-05,905618,382
0.627939419411015,Bugspots,13742,2000,45103020,0.188365535202337,79,1,1000,16,810728,0,11122,closure-compiler,Past,Author,commit,linear_weighting_function,3870,49584,2.63911308698928,0.067149524871474,902881,25
0.725479804742454,Linespots,13742,2000,45103020,0.035653514817764,79,1,1000,17,810728,0,11122,closure-compiler,Past,Author,time,flat_weighting_function,3587,47744,310.981204449559,4.07041572512606E-05,904721,308
0.621948788580578,Bugspots,13742,2000,45103020,0.193523638273178,79,1,1000,17,810728,0,11122,closure-compiler,Past,Author,time,flat_weighting_function,3844,43848,4.31555077663391,0.005866332481424,908617,51
0.725479804742454,Linespots,13742,2000,45103020,0.035653514817764,79,1,1000,18,810728,0,11122,closure-compiler,Past,Author,commit,flat_weighting_function,3587,47744,310.981204449559,4.07041572512606E-05,904721,308
0.622112448333669,Bugspots,13742,2000,45103020,0.195052029826256,79,1,1000,18,810728,0,11122,closure-compiler,Past,Author,commit,flat_weighting_function,3844,43848,4.31555077663391,0.005866332481424,908617,51
0.647272256157394,Linespots,4344,2000,45103020,0.157640489899718,120,0.908333333333333,1000,1,27176,0.091666666666667,2553,coala,Author,Author,time,google_weighting_function,720,2660,20.1303703703704,0.001655872828967,49768,81
0.590483484201747,Bugspots,4344,2000,45103020,0.285705792734186,120,0.908333333333333,1000,1,27176,0.091666666666667,2553,coala,Author,Author,time,google_weighting_function,609,3824,32.352380952381,0.000257580217839,48604,192
0.649585571828084,Linespots,4344,2000,45103020,0.154346003868626,120,0.908333333333333,1000,2,27176,0.091666666666667,2553,coala,Author,Author,commit,google_weighting_function,720,2750,30.1955555555556,0.000551957609656,49678,81
0.60088911171622,Bugspots,4344,2000,45103020,0.273470691416598,120,0.908333333333333,1000,2,27176,0.091666666666667,2553,coala,Author,Author,commit,google_weighting_function,629,3668,32.352380952381,0.000257580217839,48760,172
0.650738856589147,Linespots,4344,2000,45103020,0.152684918106679,120,0.908333333333333,1000,3,27176,0.091666666666667,2553,coala,Author,Author,time,linear_weighting_function,738,3391,9.67806267806268,0.004305269355314,49037,63
0.594652604013345,Bugspots,4344,2000,45103020,0.280134596859037,120,0.908333333333333,1000,3,27176,0.091666666666667,2553,coala,Author,Author,time,linear_weighting_function,764,8141,113.233333333333,7.35943479540771E-05,44287,37
0.648026291580807,Linespots,4344,2000,45103020,0.15657427718168,120,0.908333333333333,1000,4,27176,0.091666666666667,2553,coala,Author,Author,commit,linear_weighting_function,742,3558,9.8463768115942,0.000846335001472,48870,59
0.596456278824453,Bugspots,4344,2000,45103020,0.277659213131202,120,0.908333333333333,1000,4,27176,0.091666666666667,2553,coala,Author,Author,commit,linear_weighting_function,764,8141,113.233333333333,7.35943479540771E-05,44287,37
0.628270808801884,Linespots,4344,2000,45103020,0.177681442818026,120,0.908333333333333,1000,5,27176,0.091666666666667,2553,coala,Author,Author,time,flat_weighting_function,748,3469,12.4824146981627,0.004673241095084,48959,53
0.606266405406732,Bugspots,4344,2000,45103020,0.251859526908988,120,0.908333333333333,1000,5,27176,0.091666666666667,2553,coala,Author,Author,time,flat_weighting_function,701,3333,25.162962962963,0.000331174565793,49095,100
0.628270808801884,Linespots,4344,2000,45103020,0.177681442818026,120,0.908333333333333,1000,6,27176,0.091666666666667,2553,coala,Author,Author,commit,flat_weighting_function,748,3469,12.4824146981627,0.004673241095084,48959,53
0.6079185985183,Bugspots,4344,2000,45103020,0.245482844274578,120,0.908333333333333,1000,6,27176,0.091666666666667,2553,coala,Author,Author,commit,flat_weighting_function,701,3333,25.162962962963,0.000331174565793,49095,100
0.423636455567381,Linespots,5960,2000,45103020,0.120411486429251,99,0.686868686868687,1000,1,338418,0.313131313131313,4576,commons-math,Past,Author,time,google_weighting_function,1120,19577,34.8812615955473,0.000289582705412,339022,67
0.446772358683073,Bugspots,5960,2000,45103020,0.220969355593219,99,0.686868686868687,1000,1,338418,0.313131313131313,4576,commons-math,Past,Author,time,google_weighting_function,1148,19638,8.46129612961296,0.001193789928432,338961,39
0.423693972148842,Linespots,5960,2000,45103020,0.120263021385302,99,0.686868686868687,1000,2,338418,0.313131313131313,4576,commons-math,Past,Author,commit,google_weighting_function,1119,19590,31.9473237043331,0.0003161770355,339009,68
0.447524849879335,Bugspots,5960,2000,45103020,0.219387847268149,99,0.686868686868687,1000,2,338418,0.313131313131313,4576,commons-math,Past,Author,commit,google_weighting_function,1149,19809,8.46129612961296,0.001193789928432,338790,38
0.423944543867243,Linespots,5960,2000,45103020,0.119577478654124,99,0.686868686868687,1000,3,338418,0.313131313131313,4576,commons-math,Past,Author,time,linear_weighting_function,1131,19311,12.9975803664017,0.000777145423707,339288,56
0.45611186357246,Bugspots,5960,2000,45103020,0.200933319885306,99,0.686868686868687,1000,3,338418,0.313131313131313,4576,commons-math,Past,Author,time,linear_weighting_function,990,28246,3.80573287547443,0.03715818898522,330353,197
0.423772919402585,Linespots,5960,2000,45103020,0.120036042600002,99,0.686868686868687,1000,4,338418,0.313131313131313,4576,commons-math,Past,Author,commit,linear_weighting_function,1131,19302,13.783724340176,0.000732821540225,339297,56
0.456547909103624,Bugspots,5960,2000,45103020,0.20014177472739,99,0.686868686868687,1000,4,338418,0.313131313131313,4576,commons-math,Past,Author,commit,linear_weighting_function,990,28246,3.80573287547443,0.03715818898522,330353,197
0.423586878482895,Linespots,5960,2000,45103020,0.103603386833002,99,0.686868686868687,1000,5,338418,0.313131313131313,4576,commons-math,Past,Author,time,flat_weighting_function,1139,19056,8.18769733260751,0.00493472569426,339543,48
