AUCEC1,AUCEC100,AUCEC20,AUCEC5,AUROC,Algorithm,Depth,EInspect10,EInspect100,EInspect200,EInspect50,EInspectF,EXAM,FixCount,Future,LOC,Origin,Project,Runtime,Time,Weight,comit_version,commits,language,url
0.0,0.6502909077158895,0.09051989459347157,0.0,1.4160110332991782e-05,Bugspots,500,0,0,0,0,0.06565983856335456,0.3561518739630471,39,500,1714605,24910,httpd,0.011240720748901369,commit,google,None,31990,C,https://github.com/apache/httpd.git
0.09238429929828584,0.6941802568497262,0.2170201804858468,0.13582191850716482,0.0006468060734458937,Linespots,500,0,0,1,0,0.00011402043036151184,0.3093633906574839,72,1000,1714605,24910,httpd,0.12417387962341307,commit,google,None,31990,C,https://github.com/apache/httpd.git
0.0,0.6685557534975072,0.13966665097422248,0.045328632156128375,3.6718678846835813e-06,Bugspots,500,0,0,0,0,0.02149100336121753,0.3349542170092938,72,1000,1714605,24910,httpd,0.012618780136108398,commit,google,None,31990,C,https://github.com/apache/httpd.git
0.08418436646908561,0.7131118844408871,0.22322641207246924,0.126239280087654,0.0007622000764594481,Linespots,500,0,0,1,0,0.00011402043036151184,0.28902104465053363,122,1500,1714605,24910,httpd,0.12784838676452634,commit,google,None,31990,C,https://github.com/apache/httpd.git
0.0,0.6966850648485854,0.16495469685417688,0.048738713803634745,1.8225358545605037e-06,Bugspots,500,0,0,0,0,0.016658857287818855,0.3054272525845118,122,1500,1714605,24910,httpd,0.012908220291137695,commit,google,None,31990,C,https://github.com/apache/httpd.git
0.07981534441812424,0.8767616872331672,0.5210453161308352,0.22512724882432733,0.0015767387976998268,Linespots,500,0,0,0,0,0.003081245161158329,0.13767745649474425,18,500,619122,642,jfreechart,72.44060945510864,commit,google,None,3932,Java,https://github.com/jfree/jfreechart.git
0.0,0.8674935725357323,0.46812015517525,0.054285309973211036,0.001104749288631241,Bugspots,500,0,0,0,0,0.04059846040037343,0.14715232895574332,18,500,619122,642,jfreechart,0.011326313018798828,commit,google,None,3932,Java,https://github.com/jfree/jfreechart.git
0.10349774342918966,0.8958603349840195,0.59019692681587,0.2560044045087052,0.0017886143420040546,Linespots,500,0,0,0,0,0.003081245161158329,0.11169667724384308,36,1000,619122,642,jfreechart,0.09472775459289552,commit,google,None,3932,Java,https://github.com/jfree/jfreechart.git
0.0,0.8805996891013909,0.513252611102368,0.056192769913044865,0.003060320823930506,Bugspots,500,0,0,0,0,0.012382948038602336,0.12705458070162584,36,1000,619122,642,jfreechart,0.007019758224487305,commit,google,None,3932,Java,https://github.com/jfree/jfreechart.git
0.05361154673766366,0.7807684997951897,0.3564392136653363,0.13338167945022847,0.0015665209663513588,Linespots,500,0,0,0,0,0.003081245161158329,0.22325860409783968,69,1500,619122,642,jfreechart,0.09226322174072266,commit,google,None,3932,Java,https://github.com/jfree/jfreechart.git
0.0,0.7728521655880458,0.32180052777843,0.03601783399825588,0.0027329418848281205,Bugspots,500,0,0,0,0,0.012382948038602336,0.2312262481749848,69,1500,619122,642,jfreechart,0.006955385208129883,commit,google,None,3932,Java,https://github.com/jfree/jfreechart.git
0.0,0.0,0.0,0.0,0.0,Linespots,500,0,0,0,0,0.0,0.0,0,500,11741,574,junit5,36.09555339813232,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.0,0.0,0.0,0.0,0.0,Bugspots,500,0,0,0,0,0.0,0.0,0,500,11741,574,junit5,0.009501457214355469,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.0,0.0,0.0,0.0,0.0,Linespots,500,0,0,0,0,0.0,0.0,0,1000,11741,574,junit5,0.0865328311920166,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.0,0.0,0.0,0.0,0.0,Bugspots,500,0,0,0,0,0.0,0.0,0,1000,11741,574,junit5,0.004478693008422852,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.0,0.0,0.0,0.0,0.0,Linespots,500,0,0,0,0,0.0,0.0,0,1500,11741,574,junit5,0.06316184997558594,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.0,0.0,0.0,0.0,0.0,Bugspots,500,0,0,0,0,0.0,0.0,0,1500,11741,574,junit5,0.0044558048248291016,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.0639561754071174,0.8377906788430364,0.4444007744442272,0.19682920970454,0.04181950661271773,Linespots,500,0,0,0,0,0.00578720310691499,0.17896516888873926,18,500,104541,2615,junit5,37.73188614845276,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.06622624582007992,0.7767076732063404,0.3198323129767641,0.18049593446154186,0.008380708927612363,Bugspots,500,0,0,0,0,0.005330444514592361,0.23772927399950697,18,500,104541,2615,junit5,0.019902706146240238,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
0.07049528502251295,0.8475743238572668,0.5045380184961278,0.22897556213995565,0.062180046937083615,Linespots,500,0,0,0,0,0.003491453114089209,0.16288695023220218,30,1000,104541,2615,junit5,0.13930201530456546,commit,google,None,6231,Java,https://github.com/junit-team/junit5.git
